PcHyp_1	PcHyp_2	PcHyp_3	LaPc18_1	LaPc18_2	LaPc18_3	LaPc30_1	LaPc30_2	LaPc30_3	LaPc48_1	LaPc48_2	LaPc48_3
IUM83_00232	2414	2393	2341	23	48	14	205	234	110	414	778	571
IUM83_00233	9111	8528	7547	37	45	17	349	329	138	866	1794	1066
IUM83_00234	1583	1460	1636	0	0	0	11	13	3	150	242	208
IUM83_00235	277	258	162	7	9	1	50	30	14	47	44	46
IUM83_00236	2352	1782	2148	7	14	3	27	16	15	166	266	201
IUM83_00237	301	300	339	12	13	7	72	77	53	116	136	83
IUM83_00238	815	1080	652	6	8	2	81	65	27	239	271	194
IUM83_00239	2386	2578	2869	224	357	122	1647	1082	592	841	1223	724
IUM83_00240	4914	4370	4769	10	9	2	188	278	80	997	1318	1080
IUM83_00241	125	149	139	0	1	0	12	8	0	44	75	17
IUM83_00242	3829	4755	2965	33	37	10	214	206	58	429	520	436
IUM83_00243	2839	2498	2972	39	51	10	281	249	93	393	584	439
IUM83_00244	103	95	63	2	0	0	0	9	4	7	16	5
IUM83_00245	2550	2082	2520	25	63	15	313	281	109	404	606	557
IUM83_00246	196	156	247	1	10	7	26	17	14	38	60	37
IUM83_00247	672	562	541	4	8	1	36	43	12	120	164	103
IUM83_00248	1060	921	1179	7	8	3	68	73	31	142	181	158
IUM83_00249	1282	1269	1001	10	8	3	64	41	28	109	139	121
IUM83_00250	745	939	862	2	5	0	35	41	15	54	107	83
IUM83_00251	102	80	89	4	7	0	41	23	9	43	77	38
IUM83_00252	191	137	175	9	7	0	26	34	19	41	82	74
IUM83_00253	1099	975	902	5	0	3	46	68	21	135	205	168
IUM83_00254	1013	843	992	6	8	2	41	39	11	113	127	83
IUM83_00255	48	37	52	4	10	3	55	121	18	112	150	76
IUM83_00256	1149	1046	1063	7	15	1	58	77	29	124	142	155
IUM83_00257	186	192	166	5	5	0	37	41	9	52	45	37
IUM83_00258	147	144	157	6	3	0	22	24	11	40	33	46
IUM83_00259	1257	877	1095	4	2	0	42	40	17	61	137	119
IUM83_00260	411	422	389	1	0	1	8	15	6	22	41	37
IUM83_00261	460	355	393	0	1	2	10	10	3	41	76	32
IUM83_00262	1998	1642	1874	15	9	7	73	75	36	176	268	201
IUM83_00263	29	35	8	0	0	0	2	1	0	1	10	3
IUM83_00264	11871	6871	6434	0	0	0	3	2	0	9	13	5
IUM83_00265	44	17	12	0	0	0	0	0	0	0	0	0
IUM83_00266	1901	641	1896	0	0	0	97	127	29	437	921	1582
IUM83_00267	82	48	53	0	0	0	0	0	0	4	4	17
IUM83_00268	883	761	721	10	11	0	34	48	15	73	124	98
IUM83_00269	3814	3112	3057	77	117	36	517	398	212	282	512	498
IUM83_00270	1585	1241	1776	11	15	2	217	412	108	723	1208	982
IUM83_00271	1652	1380	1591	35	48	14	225	173	85	267	417	331
IUM83_00272	1076	845	994	21	20	10	143	95	59	94	211	194
IUM83_00273	1649	1396	1458	32	60	21	252	188	82	220	428	302
IUM83_00274	9021	7599	9042	48	45	16	434	571	171	1259	1700	1556
IUM83_00275	1781	1311	1613	21	35	10	136	99	79	273	378	295
IUM83_00276	6627	5021	6990	0	0	0	2	15	0	89	135	216
IUM83_00277	10062	8984	11280	170	305	100	1956	1915	778	2652	4370	3997
IUM83_00278	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00279	76	99	118	2	0	0	3	1	0	11	25	11
IUM83_00280	1075	974	1204	1	0	0	33	46	15	91	196	115
IUM83_00281	1244	1213	1496	0	3	5	71	45	20	116	253	197
IUM83_00282	601	617	647	1	0	0	41	18	15	77	142	136
IUM83_00283	81	58	73	0	0	0	0	1	0	0	0	0
IUM83_00284	5	0	0	0	0	0	0	0	0	0	0	0
IUM83_00285	2517	2063	2471	5	28	6	131	125	67	392	480	316
IUM83_00286	568	590	973	77	129	49	592	362	238	341	547	298
IUM83_00287	581	519	578	43	45	15	196	140	74	128	215	146
IUM83_00288	378	327	458	15	19	2	58	47	17	79	106	91
IUM83_00289	324	451	285	7	9	4	44	46	24	90	86	56
IUM83_00290	6930	6150	6562	29	41	7	260	254	108	908	1238	848
IUM83_00291	724	569	584	0	0	2	5	10	3	96	118	42
IUM83_00292	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00293	4008	3383	3670	39	76	17	314	249	138	368	517	463
IUM83_00294	1601	1509	1653	1	0	0	1	11	1	77	133	146
IUM83_00295	1225	1036	1153	0	0	0	7	9	0	70	114	99
IUM83_00296	1151	941	983	7	11	7	81	96	33	164	174	156
IUM83_00297	1110	860	871	5	6	0	33	33	10	96	184	105
IUM83_00298	532	413	419	3	0	1	27	27	11	40	62	60
IUM83_00299	65	72	82	5	9	5	30	12	6	36	26	15
IUM83_00300	5068	3511	4407	37	58	11	321	362	83	892	1361	747
IUM83_00301	951	902	896	18	33	14	124	69	62	101	157	143
IUM83_00302	0	0	0	0	0	0	0	0	1	1	0	2
IUM83_00303	3	4	2	0	0	0	0	0	0	0	1	0
IUM83_00304	380	432	404	3	6	1	137	165	46	338	647	733
IUM83_00305	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00306	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00307	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_00308	147	130	112	0	0	0	1	3	0	8	15	16
IUM83_00309	205	173	134	3	4	1	16	42	19	29	30	31
IUM83_00310	550	422	623	10	7	4	35	39	27	66	89	100
IUM83_00311	269	246	300	5	11	0	19	11	9	24	36	21
IUM83_00312	986	788	837	23	51	15	212	152	96	167	267	232
IUM83_00313	29149	29892	30828	1541	2683	772	10851	9167	4502	14602	20179	14153
IUM83_00314	1376	1395	1262	0	0	0	30	25	1	109	135	90
IUM83_00315	2705	2148	2366	32	49	22	342	256	137	299	478	397
IUM83_00316	5313	5153	5135	13	19	8	172	123	58	293	505	478
IUM83_00317	95	82	155	0	0	0	4	2	0	19	74	24
IUM83_00318	3	6	1	0	0	0	0	0	0	0	0	0
IUM83_00319	2	4	9	0	0	0	0	0	0	0	0	0
