PcHyp_1	PcHyp_2	PcHyp_3	LaPc18_1	LaPc18_2	LaPc18_3	LaPc30_1	LaPc30_2	LaPc30_3	LaPc48_1	LaPc48_2	LaPc48_3
IUM83_15141	1086	991	1208	210	345	135	1177	734	450	707	750	548
IUM83_15142	670	525	576	0	0	0	0	0	0	10	4	13
IUM83_15143	2885	3027	2597	19	24	5	207	186	79	450	692	434
IUM83_15144	698	639	820	13	16	3	141	158	55	207	507	391
IUM83_15145	5604	4632	5758	75	95	46	632	586	282	729	1363	1078
IUM83_15146	1344	1047	1268	49	64	21	301	261	180	200	368	363
IUM83_15147	234	287	200	1	8	0	31	17	6	62	65	70
IUM83_15148	1264	1139	1290	15	30	8	222	172	77	283	467	397
IUM83_15149	3179	3021	3874	135	224	71	1318	1011	496	1206	2271	1791
IUM83_15150	2867	2352	2311	8	7	3	77	66	34	242	230	182
IUM83_15151	25	22	19	0	0	0	1	3	0	12	20	6
IUM83_15152	1051	2007	722	7	13	2	194	267	68	617	703	582
IUM83_15153	462	383	285	0	0	0	0	0	0	1	12	13
IUM83_15154	3358	2643	3217	9	11	4	203	236	64	833	1155	918
IUM83_15155	2336	1891	2364	64	92	28	434	354	155	415	647	585
IUM83_15156	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15157	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15158	0	0	3	0	0	0	0	0	0	0	0	0
IUM83_15159	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15160	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15161	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15162	2205	1839	2011	23	30	10	248	227	89	485	604	474
IUM83_15163	3943	3630	3900	18	42	12	214	221	86	793	1061	625
IUM83_15164	4283	4799	4673	48	79	18	486	530	235	903	1434	1099
IUM83_15165	3519	2940	3427	41	77	36	403	338	201	526	666	529
IUM83_15166	4103	3579	3726	63	107	20	611	477	227	622	870	692
IUM83_15167	30	32	53	0	0	0	2	1	0	2	3	1
IUM83_15168	6839	4917	5413	43	66	26	567	664	237	1057	1325	953
IUM83_15169	556	469	674	77	139	33	398	287	170	223	381	230
IUM83_15170	5881	4467	6082	101	158	39	962	931	396	1148	1805	1647
IUM83_15171	1153	795	1122	6	11	5	54	53	20	94	183	124
IUM83_15172	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15173	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15174	0	5	5	0	0	0	0	1	0	0	0	2
IUM83_15175	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15176	8	8	1	0	0	0	0	0	0	0	0	1
IUM83_15177	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15178	131	104	152	4	0	0	5	9	4	20	36	36
IUM83_15179	16	5	13	0	0	0	0	0	0	0	2	3
IUM83_15180	542	433	428	0	1	0	19	17	5	48	54	34
IUM83_15181	95	108	81	3	0	0	1	0	0	6	5	7
IUM83_15182	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15183	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15184	3036	3791	3797	57	72	26	330	235	123	446	460	424
IUM83_15185	6	0	1	0	0	0	0	0	0	0	0	0
IUM83_15186	105	127	68	3	4	1	22	12	9	20	19	14
IUM83_15187	0	0	2	0	0	0	0	0	0	0	0	0
IUM83_15188	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15189	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15190	12	9	20	0	0	0	8	0	1	3	1	0
IUM83_15191	1014	916	1001	5	2	6	65	48	22	82	165	98
IUM83_15192	466	405	387	27	23	8	86	73	56	88	158	103
IUM83_15193	1710	1344	1670	6	5	3	71	71	30	198	240	166
IUM83_15194	4	17	1	0	0	0	0	0	1	0	1	0
IUM83_15195	177	176	193	6	3	4	24	13	12	20	67	30
IUM83_15196	39	49	45	0	4	1	5	3	1	13	13	4
IUM83_15197	44	45	55	2	2	0	7	4	8	3	15	9
IUM83_15198	329	246	235	3	13	6	32	29	21	54	114	59
IUM83_15199	0	0	2	0	0	0	0	0	0	0	1	0
IUM83_15200	434	612	593	0	0	0	6	7	1	44	143	255
IUM83_15201	0	0	0	0	0	0	0	0	0	0	2	0
IUM83_15202	557	362	747	5	8	1	38	29	16	55	73	54
IUM83_15203	28645	27341	26696	11	11	9	688	610	199	1706	4450	3321
IUM83_15204	46	31	40	0	0	0	4	17	5	200	707	132
IUM83_15205	2	5	4	0	0	0	0	1	0	27	87	11
IUM83_15206	66	47	77	0	0	0	0	0	0	4	2	1
IUM83_15207	2172	1657	1914	0	0	0	3	4	0	38	62	71
IUM83_15208	518	460	513	1	6	1	29	33	25	63	106	71
IUM83_15209	619	554	648	1	4	1	30	19	11	106	139	89
IUM83_15210	1130	1034	921	12	7	3	50	76	37	133	211	139
IUM83_15211	69	79	54	0	0	0	2	1	5	27	20	54
IUM83_15212	17	9	14	0	0	0	0	0	0	2	1	0
IUM83_15213	901	838	778	30	37	19	143	125	51	282	479	218
IUM83_15214	58	54	44	0	0	0	0	1	0	1	5	1
IUM83_15215	0	1	0	0	0	0	0	0	0	0	0	0
IUM83_15216	3	2	6	0	0	0	0	0	0	2	20	5
IUM83_15217	288	296	422	0	1	0	2	12	0	43	68	115
IUM83_15218	65	84	41	1	1	0	10	21	6	130	118	117
IUM83_15219	1303	1436	1144	9	20	4	148	218	79	471	703	503
IUM83_15220	244	261	262	2	6	0	10	16	5	21	53	33
IUM83_15221	2240	1513	1395	0	0	0	4	3	1	44	76	55
IUM83_15222	2239	2026	2428	84	137	50	471	302	180	361	563	351
IUM83_15223	1	2	0	0	0	0	0	0	0	0	0	0
IUM83_15224	15	11	24	0	0	0	0	1	0	0	5	1
IUM83_15225	3291	3109	3016	64	134	45	446	366	198	472	696	608
IUM83_15226	1101	1454	1716	1	0	0	18	27	9	156	402	385
IUM83_15227	1082	543	1083	2	10	5	169	202	25	952	1563	684
IUM83_15228	791	1009	848	215	303	70	1062	871	426	1206	1593	1156
IUM83_15229	0	0	0	0	0	0	0	54	4	235	174	53
IUM83_15230	601	508	746	163	222	92	609	331	241	242	318	246
IUM83_15231	1879	2096	2840	0	2	0	30	45	11	266	453	478
IUM83_15232	3311	5390	3054	34	27	10	325	354	119	1154	1557	1188
IUM83_15233	991	990	862	9	7	4	82	77	33	183	168	146
IUM83_15234	4255	3839	3909	55	81	19	568	563	239	1008	1352	1240
IUM83_15235	240	216	292	0	1	0	0	4	2	28	57	35
IUM83_15236	16	8	12	0	0	0	0	1	0	1	3	0
IUM83_15237	13	6	15	0	0	0	0	0	0	0	2	0
IUM83_15238	35	30	32	0	2	0	1	7	0	8	8	9
IUM83_15239	10	19	21	0	2	0	0	2	2	2	0	0
IUM83_15240	833	601	857	5	11	0	75	79	41	111	218	164
IUM83_15241	23	5	11	2	0	0	5	1	0	3	1	0
IUM83_15242	422	257	281	0	0	0	9	8	2	30	45	22
IUM83_15243	1000	682	880	111	121	49	488	377	273	322	418	404
IUM83_15244	3838	2932	4095	23	25	5	308	409	111	593	1119	953
IUM83_15245	278	249	287	18	10	1	92	67	29	71	119	91
IUM83_15246	25	10	4	0	0	1	7	3	6	14	24	40
IUM83_15247	545	420	383	4	1	0	28	20	6	85	96	47
IUM83_15248	5	19	3	0	0	0	0	0	0	0	0	1
IUM83_15249	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15250	0	0	0	0	0	0	0	0	0	0	1	0
IUM83_15251	1846	1518	1469	2	1	0	12	37	5	314	357	193
IUM83_15252	57	69	98	0	0	0	0	0	0	4	4	2
IUM83_15253	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15254	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15255	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15256	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15257	870	775	889	7	11	2	65	56	22	116	183	132
IUM83_15258	2175	1828	2082	74	79	23	553	487	240	565	839	682
IUM83_15259	112	71	78	0	0	0	6	13	6	41	74	61
IUM83_15260	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15261	35	40	42	0	0	0	5	1	0	11	4	4
IUM83_15262	31	16	14	0	0	0	2	6	0	5	13	9
IUM83_15263	5	15	15	0	5	0	4	3	1	4	2	9
IUM83_15264	1	2	3	0	0	0	0	0	0	0	2	0
IUM83_15265	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15266	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15267	336	514	215	1	1	0	9	16	5	23	25	14
IUM83_15268	927	1418	595	2	6	0	57	25	17	81	70	85
IUM83_15269	0	0	0	0	0	0	0	0	0	0	1	0
IUM83_15270	1	0	0	0	0	0	0	0	0	0	0	0
IUM83_15271	664	577	704	4	10	0	195	178	59	273	461	347
IUM83_15272	197	153	134	0	1	1	16	23	7	258	428	203
IUM83_15273	6767	9342	5846	16	51	15	370	410	180	1239	2366	1499
IUM83_15274	1431	1121	1409	7	10	0	81	80	42	174	252	183
IUM83_15275	2399	1976	2307	4	8	0	124	172	39	254	489	368
IUM83_15276	21	23	45	0	0	0	1	5	0	5	8	12
IUM83_15277	10	10	8	0	0	0	0	0	0	2	1	0
IUM83_15278	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15279	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15280	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15281	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15282	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15283	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15284	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15285	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15286	5	9	10	0	0	0	0	0	0	1	1	2
IUM83_15287	1616	1735	1272	139	202	73	776	487	282	609	874	651
IUM83_15288	1779	1512	1192	33	32	8	209	224	69	270	325	298
IUM83_15289	2349	2132	2523	56	69	20	295	277	126	366	533	407
IUM83_15290	6209	10199	5254	6	0	0	47	34	11	424	640	842
IUM83_15291	1228	1281	986	5	5	1	45	51	10	251	435	203
IUM83_15292	3256	3044	3446	4	0	0	35	29	14	177	230	212
IUM83_15293	197	107	127	0	0	0	0	0	0	0	13	10
IUM83_15294	111	36	60	0	0	0	1	0	3	2	1	2
IUM83_15295	72	41	32	0	0	0	6	2	4	5	9	6
IUM83_15296	1872	1500	1371	0	0	0	7	12	5	140	92	62
IUM83_15297	1	4	2	0	0	0	0	1	0	0	0	1
IUM83_15298	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15299	4	0	2	0	0	0	0	0	0	0	3	0
IUM83_15300	1	6	4	0	0	0	0	0	0	0	1	0
IUM83_15301	163	191	181	0	0	0	0	0	0	42	168	228
IUM83_15302	511	322	381	6	10	3	98	77	49	161	190	137
IUM83_15303	41	38	69	0	0	1	5	22	4	52	74	40
IUM83_15304	22	21	13	27	21	19	65	41	46	29	35	31
IUM83_15305	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15306	194	140	176	13	27	12	125	76	59	59	80	91
IUM83_15307	5284	4448	5019	34	72	27	331	336	139	349	653	458
IUM83_15308	2228	2108	2033	17	22	10	252	280	129	1022	1393	817
IUM83_15309	54	59	67	1	5	3	19	13	12	18	33	16
IUM83_15310	251	172	235	0	1	0	5	7	3	29	27	36
IUM83_15311	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15312	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15313	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15314	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15315	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15316	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15317	2633	2447	2117	14	27	4	212	165	83	506	733	550
IUM83_15318	1577	1511	1657	79	156	38	624	447	260	397	546	436
IUM83_15319	1010	738	880	10	16	4	111	73	27	151	225	159
IUM83_15320	505	530	564	8	15	8	159	150	63	356	674	408
IUM83_15321	6245	6245	6910	33	27	4	200	256	97	910	1146	707
IUM83_15322	12	18	11	0	0	0	0	0	0	0	1	3
IUM83_15323	0	0	1	0	0	0	0	0	0	0	1	0
IUM83_15324	2387	2091	2303	20	29	5	310	211	145	541	998	704
IUM83_15325	38	18	26	1	4	1	3	7	8	6	9	7
IUM83_15326	124	73	109	0	1	0	6	5	6	11	13	24
IUM83_15327	36	27	21	1	2	0	4	3	3	1	16	8
IUM83_15328	1	4	0	0	0	0	0	0	0	0	0	2
IUM83_15329	3	1	1	0	0	0	0	0	0	0	0	0
IUM83_15330	448	327	384	3	4	0	49	45	25	204	224	124
IUM83_15331	2265	2124	2537	69	114	50	460	403	252	363	589	444
IUM83_15332	3571	2873	3193	19	31	8	225	278	135	468	788	609
IUM83_15333	8138	7258	8124	68	132	41	896	1066	407	1296	2211	1874
IUM83_15334	2887	2966	2452	26	58	14	270	323	112	692	848	620
IUM83_15335	1997	1746	1846	45	64	8	231	232	110	353	520	510
IUM83_15336	2418	2097	2634	72	95	28	503	463	221	569	889	685
IUM83_15337	201	206	208	2	0	1	31	25	7	85	95	82
IUM83_15338	6656	5370	6157	36	46	14	486	524	192	820	1308	1020
IUM83_15339	2771	2511	3013	75	100	41	531	430	180	492	780	653
IUM83_15340	5	8	0	0	0	0	0	0	0	0	0	0
IUM83_15341	100	103	103	0	0	0	4	4	1	4	17	10
IUM83_15342	1096	817	934	8	22	5	94	71	24	135	196	167
IUM83_15343	3	2	0	0	0	0	0	0	0	0	3	0
IUM83_15344	240	256	278	0	0	0	0	0	0	8	20	25
IUM83_15345	137	99	176	0	0	0	0	1	0	0	7	12
IUM83_15346	269	233	215	3	3	0	20	17	14	47	49	58
IUM83_15347	2312	1977	2435	46	91	28	402	346	184	292	458	425
IUM83_15348	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15349	358	413	511	0	1	0	0	2	0	13	63	76
IUM83_15350	468	575	354	14	8	1	41	53	23	27	79	37
IUM83_15351	269	251	199	5	3	0	48	42	27	29	52	56
IUM83_15352	635	576	653	9	6	2	109	81	53	194	282	330
IUM83_15353	177	198	189	0	0	0	1	1	0	38	40	62
IUM83_15354	783	662	778	35	41	12	217	187	91	170	276	208
IUM83_15355	142	112	116	0	0	0	2	0	0	5	6	2
IUM83_15356	428	346	395	2	7	0	47	33	17	64	89	73
IUM83_15357	4299	3019	3377	5	10	5	110	190	39	1441	2015	773
IUM83_15358	2531	2084	2385	36	36	5	236	218	101	331	537	415
IUM83_15359	721	692	730	22	21	16	161	121	56	159	225	233
IUM83_15360	9	5	13	0	0	0	0	0	0	0	0	0
IUM83_15361	4993	3958	5956	30	41	11	704	922	215	1756	3563	2620
IUM83_15362	80	49	36	0	0	0	0	2	0	5	6	5
IUM83_15363	22188	19530	16316	44	68	22	784	816	231	3320	4555	2797
IUM83_15364	195	193	188	7	17	4	64	82	32	136	182	138
IUM83_15365	2512	2038	2182	21	43	26	254	258	111	493	734	518
IUM83_15366	96	89	100	8	7	9	65	91	37	221	347	115
IUM83_15367	106	126	98	0	0	0	0	2	0	2	7	6
IUM83_15368	175	157	155	0	0	0	0	0	0	5	12	4
IUM83_15369	262	215	257	1	3	1	13	18	5	26	56	59
IUM83_15370	248	336	292	5	3	2	61	32	18	65	117	99
IUM83_15371	6631	5630	6388	28	36	7	302	301	148	526	708	623
IUM83_15372	132	146	157	1	2	0	20	10	2	13	29	23
IUM83_15373	202	167	170	0	1	0	8	4	4	10	27	17
IUM83_15374	292	224	286	1	0	0	12	8	8	12	25	17
IUM83_15375	828	797	920	65	76	19	333	257	136	210	336	281
IUM83_15376	1337	1171	2101	2	2	0	100	112	38	188	292	718
IUM83_15377	987	835	1014	21	39	7	176	118	67	102	206	163
IUM83_15378	1917	1703	1833	9	18	4	121	151	62	218	364	271
IUM83_15379	1571	1403	1746	6	5	3	70	95	27	171	277	266
IUM83_15380	1073	723	987	11	9	1	42	70	19	113	157	201
IUM83_15381	946	677	1022	21	28	11	168	105	68	195	216	177
IUM83_15382	969	964	1055	14	27	10	136	107	58	174	231	166
IUM83_15383	2620	2440	2807	80	117	58	597	459	239	402	709	590
IUM83_15384	781	660	789	26	55	20	403	272	131	313	438	443
IUM83_15385	14531	10580	13491	2	6	6	341	435	108	887	1979	1693
IUM83_15386	23291	21807	23033	418	675	197	5688	4662	2271	3456	6159	5614
IUM83_15387	1543	1206	1782	39	50	16	292	261	138	337	556	528
IUM83_15388	1496	1051	1129	9	15	4	74	87	55	175	231	174
IUM83_15389	3119	2570	2838	13	32	8	194	219	109	379	540	424
IUM83_15390	848	723	617	37	62	23	217	151	81	150	251	223
IUM83_15391	13634	10341	13269	69	107	40	1039	1142	390	2146	4698	2630
IUM83_15392	585	507	657	57	125	41	394	231	159	300	371	263
IUM83_15393	59593	58981	54332	1715	2789	825	12907	10151	4995	18262	25319	18684
IUM83_15394	1877	1584	1603	13	16	3	120	111	32	301	374	209
IUM83_15395	847	697	830	7	2	1	31	19	19	87	87	83
IUM83_15396	256	254	247	1	5	0	12	8	3	10	21	16
IUM83_15397	153	130	155	0	0	0	1	0	0	5	8	8
IUM83_15398	4157	4683	3409	4	7	1	80	136	52	676	811	373
IUM83_15399	47	34	25	0	0	0	0	0	1	83	61	20
IUM83_15400	2521	2069	2391	15	26	9	177	194	93	440	519	451
IUM83_15401	1124	884	812	4	4	4	71	54	30	61	73	101
IUM83_15402	444	331	428	0	1	2	10	17	4	64	110	70
IUM83_15403	11	17	10	0	0	0	0	3	0	67	70	23
IUM83_15404	188	187	224	0	0	0	0	0	0	8	34	28
IUM83_15405	1306	1353	884	10	9	5	29	35	16	58	130	87
IUM83_15406	8481	6480	6305	31	34	8	407	442	140	966	1448	951
IUM83_15407	12055	8844	12105	0	0	4	5272	7889	1060	6522	10236	8858
IUM83_15408	43460	36276	51973	1427	2117	530	23892	26736	9034	38539	57554	42195
IUM83_15409	81	94	65	0	0	0	0	0	0	0	0	0
IUM83_15410	235	247	279	0	0	0	1	1	0	11	26	15
IUM83_15411	1144	1040	971	23	26	7	145	128	54	181	287	291
IUM83_15412	1	0	0	0	0	0	0	0	0	0	0	0
IUM83_15413	1644	1398	1410	11	28	13	143	167	57	224	364	272
IUM83_15414	32	22	32	0	0	0	0	0	0	0	4	0
IUM83_15415	181	193	192	0	0	0	0	1	0	7	13	30
IUM83_15416	4065	3541	3127	20	31	16	225	293	137	381	506	368
IUM83_15417	16	17	19	0	0	0	0	0	0	6	2	6
IUM83_15418	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15419	3364	2899	3131	86	105	32	510	451	175	624	991	776
IUM83_15420	462	409	551	2	9	1	25	48	16	164	261	166
IUM83_15421	488	479	492	7	10	1	40	33	15	81	141	108
IUM83_15422	436	433	313	9	9	4	227	120	80	133	300	186
IUM83_15423	35	49	49	0	4	2	28	27	11	31	77	35
IUM83_15424	0	2	1	0	0	0	2	0	0	0	2	0
IUM83_15425	77	64	75	14	7	0	269	153	79	265	480	458
IUM83_15426	478	430	483	2	7	1	22	24	3	74	78	56
IUM83_15427	2	2	6	0	0	0	0	0	0	0	0	0
IUM83_15428	372	353	361	14	20	4	61	46	28	49	129	79
IUM83_15429	1592	1348	1749	0	0	0	1	1	0	68	205	186
IUM83_15430	890	972	907	6	5	2	77	81	32	146	278	202
IUM83_15431	559	580	581	27	26	13	213	139	90	183	257	237
IUM83_15432	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15433	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15434	0	1	0	0	0	0	0	0	0	0	0	0
IUM83_15435	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15436	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15437	7	1	0	0	0	0	0	0	0	0	0	0
IUM83_15438	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15439	255	261	242	3	5	2	23	14	5	31	70	104
IUM83_15440	14	7	15	0	0	0	0	0	0	1	0	1
IUM83_15441	3	0	6	0	0	0	0	0	0	0	0	0
IUM83_15442	4683	3475	3404	18	17	8	155	121	62	263	447	377
IUM83_15443	776	863	814	1	3	1	21	6	7	39	73	75
IUM83_15444	1149	1172	1041	19	49	6	214	136	83	199	249	224
IUM83_15445	584	469	539	5	10	4	47	55	28	110	112	101
IUM83_15446	3194	2763	3162	45	58	22	310	243	112	436	617	485
IUM83_15447	6	1	7	0	0	0	0	0	0	0	0	1
IUM83_15448	237	216	398	0	0	0	0	0	0	0	0	3
IUM83_15449	5978	6818	7304	1	3	1	149	643	82	1918	3027	1861
IUM83_15450	3411	3082	3882	52	93	16	706	647	319	684	1139	863
IUM83_15451	1968	1828	1917	64	79	32	409	439	188	528	616	679
IUM83_15452	4	5	2	69	86	33	422	348	184	376	358	394
IUM83_15453	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15454	121	96	63	20	18	4	23	12	9	30	21	28
IUM83_15455	4357	4109	3997	12	15	4	240	228	87	531	1068	663
IUM83_15456	808	630	651	27	48	11	291	262	117	339	450	208
IUM83_15457	2069	2024	1913	26	11	3	122	110	47	147	257	214
IUM83_15458	468	483	468	1	7	3	37	41	15	38	54	56
IUM83_15459	6240	5092	5814	45	59	22	605	490	246	750	1086	1067
IUM83_15460	45647	43670	40657	1662	2871	866	12630	10400	4593	17398	23194	18889
IUM83_15461	143	158	154	7	4	4	30	20	12	63	52	47
IUM83_15462	90	73	117	2	0	1	76	60	6	233	350	237
IUM83_15463	1	1	2	0	0	0	0	0	0	0	1	0
IUM83_15464	409	181	189	0	0	0	0	0	0	10	9	5
IUM83_15465	915	726	515	0	0	0	0	7	0	2	7	9
IUM83_15466	36	34	51	0	1	0	5	6	1	6	14	21
IUM83_15467	75	50	77	12	18	4	522	959	228	136	244	195
IUM83_15468	121	73	156	12	21	2	511	861	213	183	311	205
IUM83_15469	9	10	11	0	0	0	3	3	0	2	11	4
IUM83_15470	487	206	264	0	0	0	0	0	0	0	1	0
IUM83_15471	811	391	262	0	1	0	5	12	1	12	27	26
IUM83_15472	65	48	57	11	25	6	319	273	71	489	990	1232
IUM83_15473	40	19	40	0	2	2	292	252	57	597	1218	1817
IUM83_15474	0	0	0	0	0	0	0	3	0	6	11	14
IUM83_15475	1407	1235	1328	25	32	24	178	146	74	200	301	285
IUM83_15476	1915	1430	1502	14	12	4	150	172	47	280	517	344
IUM83_15477	343	330	363	0	0	0	1	0	0	13	41	79
IUM83_15478	1604	1379	1670	8	2	0	40	59	23	133	238	232
IUM83_15479	1248	1051	1143	1	0	0	21	24	9	63	130	113
IUM83_15480	4663	4396	5418	232	385	118	2679	2213	848	3122	4055	3787
IUM83_15481	185	176	148	3	2	0	16	19	5	11	32	29
IUM83_15482	662	496	469	3	5	0	18	29	13	51	76	56
IUM83_15483	1661	1431	1341	17	23	2	142	92	53	176	286	237
IUM83_15484	3514	3151	3477	73	137	38	764	615	253	946	1372	1027
IUM83_15485	3360	2844	2766	9	13	1	58	75	21	132	254	199
IUM83_15486	552	549	581	32	41	28	137	95	57	108	143	65
IUM83_15487	8671	6511	8777	1	6	3	96	114	27	597	808	813
IUM83_15488	549	549	586	0	0	0	33	27	17	72	161	131
IUM83_15489	126	144	138	3	3	2	27	29	4	39	27	36
IUM83_15490	10253	13798	8518	288	414	122	1604	1304	682	1718	2297	1803
IUM83_15491	3172	2174	1497	0	0	0	5	2	0	16	29	22
IUM83_15492	789	808	885	23	52	10	339	270	132	220	395	335
IUM83_15493	16092	13530	13780	12	13	9	368	510	145	2587	3249	2141
IUM83_15494	621	507	514	9	8	3	25	31	18	58	137	75
IUM83_15495	6945	5851	7286	70	104	35	796	774	331	1027	1602	1431
IUM83_15496	1180	1122	912	2	8	3	86	67	22	211	259	192
IUM83_15497	66	35	60	0	0	0	56	59	14	148	211	213
IUM83_15498	45	89	71	1	0	0	15	16	6	54	156	158
IUM83_15499	15739	16564	11942	1	2	0	53	151	22	721	1449	881
IUM83_15500	13941	14488	11582	2	1	1	49	109	34	484	1303	625
IUM83_15501	693	541	537	3	1	1	210	178	69	447	591	354
IUM83_15502	43	26	41	0	0	0	73	47	7	148	341	539
IUM83_15503	56	55	30	0	0	0	0	2	0	533	1755	8024
IUM83_15504	275	228	316	1	1	0	1	12	1	21	51	55
IUM83_15505	32	51	45	1	2	2	8	8	4	12	24	29
IUM83_15506	3	0	4	0	0	0	0	0	0	0	0	0
IUM83_15507	10	18	23	0	0	0	0	0	0	0	1	2
IUM83_15508	205	175	253	0	0	0	0	0	0	1	8	0
IUM83_15509	488	443	494	9	12	10	51	65	26	78	142	82
IUM83_15510	23	16	9	0	0	0	11	4	1	13	10	7
IUM83_15511	34	89	51	0	0	0	0	1	0	6	11	1
IUM83_15512	3602	4110	2462	59	70	14	756	788	208	1798	2140	1374
IUM83_15513	526	631	409	2	1	0	22	28	9	73	110	46
IUM83_15514	759	800	555	5	3	0	15	39	5	99	129	59
IUM83_15515	2807	2678	3671	55	66	37	731	759	258	1391	1898	1931
IUM83_15516	2749	2798	2291	16	19	6	157	175	57	312	428	361
IUM83_15517	29	23	43	2	0	0	1	0	0	4	3	3
IUM83_15518	25	12	41	0	0	0	0	0	0	0	2	1
IUM83_15519	1758	1401	1591	23	23	12	114	130	52	145	203	161
IUM83_15520	43	47	35	0	0	0	0	1	0	9	11	12
IUM83_15521	2903	3101	2928	33	48	7	426	349	148	661	1048	1028
IUM83_15522	461	541	479	0	0	0	0	0	0	70	71	56
IUM83_15523	618	596	493	3	13	3	71	69	26	118	178	111
IUM83_15524	4295	3791	3078	81	108	32	932	829	356	1448	2228	1566
IUM83_15525	91	73	52	1	2	2	21	30	10	97	64	53
IUM83_15526	180	178	225	1	1	3	30	14	10	27	60	47
IUM83_15527	762	705	1050	251	388	120	1327	868	545	690	1031	593
IUM83_15528	1503	1136	1447	19	37	14	170	154	62	182	362	255
IUM83_15529	1303	948	1406	9	18	5	151	167	85	172	268	204
IUM83_15530	1611	1280	1371	16	12	10	81	85	31	186	325	159
IUM83_15531	546	454	438	3	2	0	0	6	9	44	34	15
IUM83_15532	572	400	394	0	0	2	29	25	8	66	132	94
IUM83_15533	6	11	10	0	0	0	0	0	0	0	0	3
IUM83_15534	20	16	10	0	0	0	0	0	0	0	4	1
IUM83_15535	1199	969	1110	15	11	5	151	72	32	137	228	191
IUM83_15536	17	19	38	2	0	0	0	1	2	4	10	3
IUM83_15537	218	210	361	43	57	25	210	134	69	92	116	123
IUM83_15538	681	508	564	11	9	0	66	36	15	82	126	96
IUM83_15539	66	75	69	0	0	0	0	0	0	4	11	4
IUM83_15540	44	33	47	0	0	0	0	0	0	1	3	2
IUM83_15541	1088	909	992	3	1	4	42	56	29	88	190	155
IUM83_15542	78	85	67	0	0	0	0	0	0	2	4	13
IUM83_15543	1	1	2	29	21	22	160	77	68	35	40	47
IUM83_15544	0	0	0	0	0	0	0	0	0	3	0	0
IUM83_15545	493	435	497	2	5	0	22	35	13	76	96	100
IUM83_15546	1802	1560	1804	27	33	9	324	272	102	349	548	443
IUM83_15547	1484	1198	1711	16	9	5	324	272	57	549	1269	1585
IUM83_15548	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15549	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15550	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15551	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15552	3749	3024	2948	4	11	1	97	145	51	490	620	322
IUM83_15553	93	85	62	1	1	0	7	4	1	8	20	15
IUM83_15554	0	0	0	0	0	0	0	0	0	0	0	0
IUM83_15555	6	1	1	0	0	0	0	0	0	0	0	0
IUM83_15556	0	0	0	0	0	0	0	0	0	0	3	0
IUM83_15557	37	61	42	3	0	1	14	9	3	20	40	17
